Time,CCA1,SIG5,BLRP,Condition
29,4.469148552,0.888842681,1.021012126,Low light
29,2.084931522,0.632878297,0.907519155,Low light
29,4.691339797,0.888842681,1.717130873,Low light
31,1.197478705,0.607097442,1.453972517,Low light
31,1.8276629,0.926588062,2.694467154,Low light
31,1.647182035,0.668963777,2.394957409,Low light
31,1.945309895,0.993092495,3.031433133,Low light
31,1.474269217,0.641712949,1.986184991,Low light
33,0.435275282,0.392292049,2.265767771,Low light
33,0.26425451,0.341510064,2.4794154,Low light
33,0.281264621,0.269807059,1.148698355,Low light
33,0.395020656,0.279321785,1.815038311,Low light
35,0.444421341,0.329876978,3.784230587,Low light
35,0.373712312,0.503477775,3.116658319,Low light
35,0.456915725,0.840896415,8.938297105,Low light
35,0.716977624,0.641712949,6.062866266,Low light
35,0.61985385,0.406126198,5.205367422,Low light
35,0.812252396,0.757858283,4.789914818,Low light
37,0.168404197,0.309926925,4.658934346,Low light
37,0.77916458,0.895025071,6.276672783,Low light
37,0.203063099,0.329876978,2.928171392,Low light
37,0.25,0.162667732,3.031433133,Low light
37,0.358488812,0.299369676,2.158456473,Low light
37,0.463294031,0.295248165,1.148698355,Low light
39,0.184283652,0.125869444,2.313376368,Low light
39,0.293208737,0.184283652,2.234574276,Low light
39,0.13030822,0.143587294,1.057018041,Low light
39,0.068393356,0.055168937,0.870550563,Low light
39,0.038473263,0.051118879,0.979420298,Low light
